Year	PTN	Value
2014	IPB	3410
2014	ITB	3308
2014	ITS	4089
2014	UNAIR	5381
2014	UNAND	3714
2014	UB	11163
2014	UNDIP	6957
2014	UGM	7429
2014	UNHAS	4588
2014	UI	6806
2014	UNJ	3950
2014	UM	5709
2014	UNP	4966
2014	UNNES	6477
2014	UNESA	4955
2014	UNY	4659
2014	UNPAD	5017
2014	UPI	6086
2014	UNS	5853
2014	UNSRI	5952
2014	USK	4192
2014	Rata-rata PTN Lain	1998
2014	Rata-rata PTS	531
2015	IPB	3432
2015	ITB	3580
2015	ITS	3962
2015	UNAIR	5233
2015	UNAND	3698
2015	UB	12768
2015	UNDIP	7004
2015	UGM	7302
2015	UNHAS	5096
2015	UI	6711
2015	UNJ	4314
2015	UM	6079
2015	UNP	5589
2015	UNNES	5876
2015	UNESA	5004
2015	UNY	4500
2015	UNPAD	5542
2015	UPI	6324
2015	UNS	5655
2015	UNSRI	2479
2015	USK	4611
2015	Rata-rata PTN Lain	2060
2015	Rata-rata PTS	473
2016	IPB	3595
2016	ITB	3855
2016	ITS	3895
2016	UNAIR	5159
2016	UNAND	3893
2016	UB	12171
2016	UNDIP	6705
2016	UGM	6707
2016	UNHAS	4976
2016	UI	6969
2016	UNJ	3996
2016	UM	6116
2016	UNP	6308
2016	UNNES	6020
2016	UNESA	4900
2016	UNY	4848
2016	UNPAD	6402
2016	UPI	6719
2016	UNS	5962
2016	UNSRI	6162
2016	USK	4328
2016	Rata-rata PTN Lain	2104
2016	Rata-rata PTS	480
2017	IPB	3710
2017	ITB	3874
2017	ITS	3704
2017	UNAIR	5008
2017	UNAND	3772
2017	UB	10250
2017	UNDIP	8145
2017	UGM	6173
2017	UNHAS	5287
2017	UI	6849
2017	UNJ	4640
2017	UM	5852
2017	UNP	8211
2017	UNNES	6187
2017	UNESA	5325
2017	UNY	4817
2017	UNPAD	6127
2017	UPI	6317
2017	UNS	6665
2017	UNSRI	6536
2017	USK	4540
2017	Rata-rata PTN Lain	2143
2017	Rata-rata PTS	468
2018	IPB	3698
2018	ITB	4029
2018	ITS	3796
2018	UNAIR	4912
2018	UNAND	4136
2018	UB	10177
2018	UNDIP	8404
2018	UGM	7711
2018	UNHAS	6152
2018	UI	6939
2018	UNJ	3726
2018	UM	5662
2018	UNP	7812
2018	UNNES	6856
2018	UNESA	5332
2018	UNY	4951
2018	UNPAD	6603
2018	UPI	7149
2018	UNS	6121
2018	UNSRI	6506
2018	USK	5242
2018	Rata-rata PTN Lain	2221
2018	Rata-rata PTS	490
2019	IPB	3798
2019	ITB	4375
2019	ITS	4743
2019	UNAIR	5197
2019	UNAND	4323
2019	UB	13354
2019	UNDIP	10624
2019	UGM	8273
2019	UNHAS	6074
2019	UI	7824
2019	UNJ	3992
2019	UM	5889
2019	UNP	8041
2019	UNNES	7046
2019	UNESA	6039
2019	UNY	6519
2019	UNPAD	6159
2019	UPI	8554
2019	UNS	7127
2019	UNSRI	6828
2019	USK	5973
2019	Rata-rata PTN Lain	2263
2019	Rata-rata PTS	467
2020	IPB	4328
2020	ITB	4038
2020	ITS	5346
2020	UNAIR	5530
2020	UNAND	5549
2020	UB	13684
2020	UNDIP	11444
2020	UGM	8963
2020	UNHAS	6830
2020	UI	7366
2020	UNJ	4659
2020	UM	5874
2020	UNP	7442
2020	UNNES	7895
2020	UNESA	5861
2020	UNY	7331
2020	UNPAD	6116
2020	UPI	9167
2020	UNS	7348
2020	UNSRI	6739
