PTNBH	PTNBH_abbrev	Mandiri	Seleksi Nasional Berdasarkan Tes (SNBT)	Seleksi Nasional Berdasarkan Prestasi (SNBP)
Universitas Negeri Yogyakarta*	UNY	66.9%	19.9%	13.2%
Universitas Negeri Jakarta*	UNJ	54.9%	26.8%	18.3%
Universitas Diponegoro	UNDIP	49.9%	28.7%	21.4%
Universitas Negeri Malang	UM	48.3%	25.2%	26.5%
Universitas Negeri Semarang	UNNES	48.1%	30.8%	21.2%
Universitas Sebelas Maret	UNS	47.6%	30.5%	21.9%
Universitas Indonesia	UI	46.8%	31.2%	21.9%
Universitas Brawijaya	UB	46.3%	31.8%	21.9%
Universitas Padjadjaran	UNPAD	46.2%	28.4%	25.5%
Universitas Airlangga	UNAIR	43.8%	30.5%	25.7%
Universitas Gadjah Mada	UGM	43.6%	27.7%	28.7%
Institut Teknologi Sepuluh Nopember	ITS	40.6%	34.9%	24.5%
Universitas Sriwijaya	UNSRI	39.3%	40.2%	20.5%
Universitas Negeri Padang	UNP	34.8%	39.0%	26.2%
Universitas Negeri Surabaya	UNESA	31.0%	39.2%	29.8%
Universitas Andalas	UNAND	29.4%	40.1%	30.6%
Universitas Syiah Kuala	USK	27.7%	39.6%	32.7%
Universitas Pendidikan Indonesia	UPI	27.5%	42.9%	29.6%
Institut Pertanian Bogor	IPB	24.2%	27.1%	48.6%
Institut Teknologi Bandung	ITB	21.7%	36.5%	41.8%
Universitas Hasanuddin	UNHAS	18.3%	53.7%	28.0%
